,trackName,artistName,trackID,trackURI,duration (min),popularity,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
1619,Soul Survivor,Jeezy,0Ss50OU9tCozI7JIywkv14,spotify:track:0Ss50OU9tCozI7JIywkv14,4.67,68,0.682,0.483,10,-7.718,0.0451,0.00103,0.0,0.159,0.108,84.012
1620,Many Men (Wish Death),50 Cent,1m14pmtptcjM7mdWyJyAoc,spotify:track:1m14pmtptcjM7mdWyJyAoc,4.27,53,0.653,0.826,6,-2.93,0.354,0.0153,0.00146,0.131,0.416,108.52
1621,In Da Club,50 Cent,3deUegCTzY5SH15lFlTbUP,spotify:track:3deUegCTzY5SH15lFlTbUP,3.22,49,0.902,0.72,6,-2.776,0.347,0.26,0.0,0.0749,0.805,90.059
1622,Rigamortus,Kendrick Lamar,2lD6AoA8qf2t4Dkf2TcmNK,spotify:track:2lD6AoA8qf2t4Dkf2TcmNK,2.81,65,0.52,0.807,2,-6.281,0.409,0.24,0.00257,0.199,0.628,178.012
1623,Money Trees,Kendrick Lamar,0AOvNRgl0SMfOibWA5bP8o,spotify:track:0AOvNRgl0SMfOibWA5bP8o,6.45,66,0.716,0.531,7,-7.355,0.122,0.0703,0.0,0.224,0.344,71.994
1624,Backseat Freestyle,Kendrick Lamar,3aGibUHhQyBsyumYHylw0K,spotify:track:3aGibUHhQyBsyumYHylw0K,3.54,69,0.546,0.651,1,-7.601,0.3,0.000739,0.0,0.235,0.646,77.878
1625,Sweet Serenade,Pusha T,4nwxCitFgnLugXCl0JFNTJ,spotify:track:4nwxCitFgnLugXCl0JFNTJ,3.65,54,0.722,0.702,7,-6.688,0.347,0.0127,0.0051,0.384,0.424,150.056
1626,Envy Me,Denzel Curry,2EgZ0usmUxyNpCoyiFwEGT,spotify:track:2EgZ0usmUxyNpCoyiFwEGT,4.5,40,0.839,0.679,8,-6.737,0.0933,0.0889,0.0,0.285,0.259,116.989
1627,No Role Modelz,J. Cole,68Dni7IE4VyPkTOH9mRWHr,spotify:track:68Dni7IE4VyPkTOH9mRWHr,4.88,89,0.69,0.521,10,-8.492,0.339,0.324,0.0,0.0534,0.494,100.028
1628,Stay Schemin,Rick Ross,0nq6sfr8z1R5KJ4XUk396e,spotify:track:0nq6sfr8z1R5KJ4XUk396e,4.46,65,0.541,0.734,7,-4.232,0.166,0.0621,0.0,0.12,0.321,162.304
1629,Good Morning,Chamillionaire,2VkD1v3tYy51yHdalZzEgJ,spotify:track:2VkD1v3tYy51yHdalZzEgJ,3.54,51,0.701,0.822,5,-4.181,0.0738,0.0541,0.0,0.157,0.392,88.025
1630,moment,Vierre Cloud,2JKIYl8KaAMzOR1dIzEO5f,spotify:track:2JKIYl8KaAMzOR1dIzEO5f,2.16,0,0.542,0.856,6,-7.443,0.0925,0.0415,0.159,0.166,0.524,171.364
1631,2008,ericdoa,2m5mImkOSMsQ0Q7f2RhGMy,spotify:track:2m5mImkOSMsQ0Q7f2RhGMy,2.31,40,0.735,0.565,6,-7.66,0.074,0.0282,0.0,0.375,0.659,150.09
